Dataset,Model,MRR,Hits@1,Hits@3,Hits@10
FB15K-237-10,ComplEx,0.15388,0.10157,0.16055,0.25959
FB15K-237-10,ConvE,0.16161,0.10636,0.17102,0.27325
FB15K-237-10,DistMult,0.14013,0.092011,0.14832,0.23405
FB15K-237-10,RotatE,0.11796,0.073058,0.1227,0.20631
FB15K-237-10,TransE,0.15397,0.098898,0.16405,0.26471
FB15K-237-10,TuckER,0.13524,0.0873,0.14022,0.22906
FB15K-237-20,ComplEx,0.16587,0.10841,0.17466,0.28148
FB15K-237-20,ConvE,0.17565,0.11494,0.18553,0.29736
FB15K-237-20,DistMult,0.15641,0.10166,0.16538,0.26631
FB15K-237-20,RotatE,0.16696,0.10682,0.17648,0.28957
FB15K-237-20,TransE,0.17515,0.11355,0.18654,0.30079
FB15K-237-20,TuckER,0.1746,0.11289,0.18426,0.29938
FB15K-237-50,ComplEx,0.19409,0.12694,0.20764,0.33131
FB15K-237-50,ConvE,0.21017,0.13816,0.22481,0.35891
FB15K-237-50,DistMult,0.18953,0.12227,0.20158,0.3287
FB15K-237-50,RotatE,0.22305,0.14675,0.23925,0.3826
FB15K-237-50,TransE,0.22064,0.13976,0.24107,0.38526
FB15K-237-50,TuckER,0.22627,0.14872,0.24316,0.38678
NELL23K,ComplEx,0.19483,0.12783,0.21405,0.3225
NELL23K,ConvE,0.21664,0.14176,0.23718,0.36884
NELL23K,DistMult,0.15869,0.097435,0.17831,0.27817
NELL23K,RotatE,0.19605,0.13277,0.21204,0.32038
NELL23K,TransE,0.18044,0.10602,0.19921,0.3337
NELL23K,TuckER,0.20308,0.14216,0.2188,0.3231
WD-singer,ComplEx,0.29124,0.2433,0.31684,0.37562
WD-singer,ConvE,0.36263,0.30822,0.38924,0.46391
WD-singer,DistMult,0.011489,0.0011348,0.011575,0.033818
WD-singer,RotatE,0.35798,0.3064,0.38924,0.44803
WD-singer,TransE,0.30165,0.18202,0.39015,0.49296
WD-singer,TuckER,0.37283,0.32478,0.40377,0.45483
WN18RR,ComplEx,0.43431,0.41401,0.44209,0.4732
WN18RR,ConvE,0.42283,0.39375,0.43618,0.48181
WN18RR,DistMult,0.41209,0.39071,0.42087,0.45389
WN18RR,RotatE,0.45214,0.4164,0.46426,0.52202
WN18RR,TransE,0.1988,0.019623,0.32786,0.51771
WN18RR,TuckER,0.44977,0.42167,0.46139,0.49952
